time,open,high,low,close,volume
1598925600,1976.459,1982.454,1976.459,1980.81,1343.0
1598926500,1980.81,1984.48,1980.22,1983.372,906.0
1598927400,1983.372,1986.252,1982.161,1985.544,1393.0
1598928300,1985.544,1988.161,1984.146,1987.898,1041.0
1598929200,1987.898,1988.698,1986.312,1986.884,994.0
1598930100,1986.884,1989.219,1985.466,1988.689,788.0
1598931000,1988.689,1989.672,1984.844,1985.216,818.0
1598931900,1985.216,1986.43,1983.626,1984.382,553.0
1598932800,1984.382,1987.434,1984.334,1986.626,470.0
1598933700,1986.626,1986.718,1985.135,1985.548,292.0
1598934600,1985.548,1987.966,1985.538,1986.306,547.0
1598935500,1986.306,1987.162,1986.2,1986.326,198.0
1598936400,1986.326,1987.427,1986.236,1986.881,221.0
1598937300,1986.881,1989.684,1986.84,1988.546,694.0
1598938200,1988.546,1989.902,1987.458,1989.382,668.0
1598939100,1989.382,1989.79,1988.014,1988.098,483.0
1598940000,1988.098,1988.098,1984.654,1985.912,858.0
1598940900,1985.912,1987.256,1985.126,1985.184,759.0
1598941800,1985.184,1986.752,1982.292,1986.13,1031.0
1598942700,1986.13,1988.84,1985.186,1988.45,853.0
1598943600,1988.45,1989.853,1986.925,1987.12,747.0
1598944500,1987.12,1990.164,1987.074,1987.692,846.0
1598945400,1987.692,1991.973,1987.271,1991.835,689.0
1598946300,1991.835,1992.565,1989.388,1992.196,1025.0
1598947200,1992.196,1992.196,1987.161,1988.771,848.0
1598948100,1988.771,1990.698,1988.462,1989.966,723.0
1598949000,1989.966,1990.717,1987.5,1987.814,769.0
1598949900,1987.814,1990.056,1987.712,1989.418,639.0
1598950800,1989.418,1989.46,1987.184,1988.345,656.0
1598951700,1988.345,1989.822,1986.072,1988.726,713.0
1598952600,1988.726,1989.02,1987.476,1988.396,554.0
1598953500,1988.396,1989.234,1987.653,1988.008,379.0
1598954400,1988.008,1988.05,1984.092,1987.202,618.0
1598955300,1987.202,1990.394,1986.9,1990.089,552.0
1598956200,1990.089,1990.402,1988.956,1989.314,408.0
1598957100,1989.314,1990.43,1989.184,1990.016,382.0
1598958000,1990.016,1990.156,1987.993,1988.27,471.0
1598958900,1988.27,1990.088,1988.051,1989.986,412.0
1598959800,1989.986,1990.415,1989.055,1989.268,387.0
1598960700,1989.268,1990.112,1988.914,1989.322,376.0
1598961600,1989.322,1990.765,1987.89,1989.932,618.0
1598962500,1989.932,1990.418,1986.093,1987.03,1585.0
1598963400,1987.03,1991.866,1985.526,1991.066,1668.0
1598964300,1991.066,1991.108,1988.522,1989.134,1073.0
1598965200,1989.134,1990.689,1986.408,1988.235,1835.0
1598966100,1988.235,1991.295,1988.035,1990.418,1434.0
1598967000,1990.418,1990.574,1979.29,1983.096,3591.0
1598967900,1983.096,1986.146,1980.254,1983.262,2595.0
1598968800,1983.262,1983.262,1970.158,1973.616,5069.0
1598969700,1973.616,1975.342,1969.914,1971.968,2969.0
1598970600,1971.968,1974.907,1966.321,1967.55,3119.0
1598971500,1967.55,1978.292,1964.363,1977.201,3119.0
1598972400,1977.201,1979.084,1974.676,1976.57,1919.0
1598973300,1976.57,1979.489,1974.067,1974.602,1937.0
1598974200,1974.602,1975.752,1973.826,1974.621,1411.0
1598975100,1974.621,1974.918,1971.762,1973.386,1096.0
1598976000,1973.386,1975.737,1971.092,1975.456,1141.0
1598976900,1975.456,1976.862,1974.906,1975.947,584.0
1598977800,1975.947,1975.947,1972.972,1975.808,744.0
1598978700,1975.808,1976.611,1974.446,1975.087,630.0
1598979600,1975.087,1975.087,1969.907,1970.201,1343.0
1598980500,1970.201,1973.574,1969.37,1972.624,1216.0
1598981400,1972.624,1973.467,1971.212,1971.729,828.0
1598982300,1971.729,1972.868,1969.302,1970.728,946.0
1598983200,1970.728,1971.94,1970.107,1970.564,613.0
1598984100,1970.564,1971.869,1968.922,1971.643,588.0
1598985000,1971.643,1971.7,1963.354,1964.356,1376.0
1598985900,1964.356,1968.404,1963.99,1965.766,1733.0
1598986800,1965.766,1968.319,1965.013,1965.874,793.0
1598987700,1965.874,1966.94,1965.039,1966.77,438.0
1598988600,1966.77,1969.167,1966.278,1968.927,564.0
1598989500,1968.927,1970.826,1968.778,1970.346,735.0
1598990400,1970.346,1970.528,1968.464,1969.039,283.0
1598991300,1969.039,1970.034,1969.039,1969.844,186.0
1598992200,1969.844,1969.954,1969.414,1969.614,113.0
1598993100,1969.614,1971.17,1969.5,1970.486,163.0
1598997600,1970.486,1970.61,1968.093,1970.487,627.0
1598998500,1970.487,1972.127,1969.694,1971.924,276.0
1598999400,1971.924,1972.476,1970.391,1970.391,257.0
1599000300,1970.391,1972.237,1969.236,1971.534,327.0
1599001200,1971.534,1972.382,1971.194,1971.626,248.0
1599002100,1971.626,1971.752,1969.594,1970.07,238.0
1599003000,1970.07,1972.332,1969.968,1971.53,221.0
1599003900,1971.53,1973.018,1971.094,1972.648,232.0
1599004800,1972.648,1973.334,1971.554,1971.738,475.0
1599005700,1971.738,1972.274,1970.85,1970.952,330.0
1599006600,1970.952,1971.922,1970.002,1970.436,329.0
1599007500,1970.436,1970.526,1965.494,1967.149,700.0
1599008400,1967.149,1969.15,1958.996,1963.794,2210.0
1599009300,1963.794,1965.486,1963.136,1964.825,953.0
1599010200,1964.825,1964.825,1961.997,1962.349,684.0
1599011100,1962.349,1963.383,1960.016,1963.307,816.0
1599012000,1963.307,1963.422,1961.058,1963.216,652.0
1599012900,1963.216,1967.675,1963.094,1966.85,623.0
1599013800,1966.85,1966.98,1964.8,1964.842,383.0
1599014700,1964.842,1965.508,1964.564,1965.048,256.0
1599015600,1965.048,1965.148,1963.116,1964.074,364.0
1599016500,1964.074,1964.348,1962.276,1964.223,326.0
1599017400,1964.223,1964.658,1963.22,1963.76,227.0
1599018300,1963.76,1965.34,1963.16,1964.953,249.0
1599019200,1964.953,1966.25,1964.576,1966.056,313.0
1599020100,1966.056,1966.998,1965.537,1965.537,285.0
1599021000,1965.537,1965.537,1963.316,1963.768,313.0
1599021900,1963.768,1964.192,1962.262,1963.006,302.0
1599022800,1963.006,1964.442,1962.493,1964.082,367.0
1599023700,1964.082,1965.314,1962.582,1962.697,606.0
1599024600,1962.697,1964.198,1960.942,1963.098,819.0
1599025500,1963.098,1964.947,1962.109,1964.492,419.0
1599026400,1964.492,1965.584,1963.597,1964.998,673.0
1599027300,1964.998,1966.484,1963.294,1963.75,596.0
1599028200,1963.75,1965.181,1961.566,1964.898,865.0
1599029100,1964.898,1966.815,1964.004,1965.685,772.0
1599030000,1965.685,1967.67,1962.545,1963.758,1313.0
1599030900,1963.758,1963.758,1958.514,1959.641,1307.0
1599031800,1959.641,1960.794,1956.16,1959.362,1422.0
1599032700,1959.362,1963.415,1959.362,1961.964,977.0
1599033600,1961.964,1964.85,1961.154,1963.17,939.0
1599034500,1963.17,1966.668,1962.966,1965.542,802.0
1599035400,1965.542,1967.098,1964.626,1966.71,701.0
1599036300,1966.71,1967.873,1964.908,1965.392,494.0
1599037200,1965.392,1971.972,1964.68,1970.756,1162.0
1599038100,1970.756,1971.716,1969.822,1970.799,784.0
1599039000,1970.799,1971.514,1968.523,1969.528,775.0
1599039900,1969.528,1970.768,1968.264,1970.44,543.0
1599040800,1970.44,1970.998,1968.044,1968.346,472.0
1599041700,1968.346,1969.442,1967.944,1968.149,327.0
1599042600,1968.149,1968.894,1967.583,1968.441,411.0
1599043500,1968.441,1968.716,1965.33,1965.501,478.0
1599044400,1965.501,1966.336,1961.41,1966.071,1300.0
1599045300,1966.071,1967.348,1957.638,1958.67,1838.0
1599046200,1958.67,1959.778,1957.094,1958.778,1458.0
1599047100,1958.778,1959.527,1957.094,1959.25,1265.0
1599048000,1959.25,1961.786,1953.561,1958.108,1699.0
1599048900,1958.108,1968.462,1958.108,1968.167,4252.0
1599049800,1968.167,1969.003,1962.376,1963.472,2430.0
1599050700,1963.472,1967.089,1962.546,1964.995,1318.0
1599051600,1964.995,1965.568,1959.892,1960.904,2108.0
1599052500,1960.904,1962.01,1954.37,1956.333,2233.0
1599053400,1956.333,1957.799,1948.634,1952.358,3681.0
1599054300,1952.358,1953.312,1946.804,1949.195,3455.0
1599055200,1949.195,1952.775,1944.506,1945.589,3067.0
1599056100,1945.589,1946.724,1940.158,1942.624,3090.0
1599057000,1942.624,1946.235,1938.713,1942.227,2955.0
1599057900,1942.227,1944.066,1938.62,1943.268,2271.0
1599058800,1943.268,1943.465,1939.542,1940.172,2095.0
1599059700,1940.172,1941.638,1937.524,1938.93,1700.0
1599060600,1938.93,1944.142,1938.674,1941.437,1700.0
1599061500,1941.437,1944.394,1941.396,1944.12,1517.0
1599062400,1944.12,1944.12,1939.272,1939.766,1317.0
1599063300,1939.766,1940.304,1934.54,1934.853,1650.0
1599064200,1934.853,1937.438,1932.681,1935.857,1346.0
1599065100,1935.857,1937.01,1934.522,1936.278,1064.0
1599066000,1936.278,1937.086,1934.284,1936.822,1017.0
1599066900,1936.822,1939.064,1935.562,1938.826,850.0
1599067800,1938.826,1942.167,1937.336,1941.756,1306.0
1599068700,1941.756,1942.513,1937.957,1938.578,1066.0
1599069600,1938.578,1939.436,1937.135,1939.118,803.0
1599070500,1939.118,1940.512,1938.178,1939.843,745.0
1599071400,1939.843,1941.648,1939.427,1940.368,558.0
1599072300,1940.368,1942.038,1940.125,1941.474,395.0
1599073200,1941.474,1942.557,1941.116,1942.41,360.0
1599074100,1942.41,1945.734,1942.154,1942.366,659.0
1599075000,1942.366,1942.998,1940.676,1942.998,587.0
1599075900,1942.998,1944.048,1941.62,1943.93,566.0
1599076800,1943.93,1944.064,1941.38,1942.098,255.0
1599077700,1942.098,1943.676,1942.05,1943.676,128.0
1599078600,1943.676,1944.746,1943.446,1944.02,174.0
1599079500,1944.02,1944.637,1942.692,1942.888,250.0
1599084000,1942.888,1942.888,1940.798,1941.052,205.0
1599084900,1941.052,1941.21,1939.854,1940.69,143.0
1599085800,1940.69,1942.274,1940.566,1941.172,221.0
1599086700,1941.172,1942.266,1940.658,1941.878,176.0
1599087600,1941.878,1942.214,1940.43,1940.77,180.0
1599088500,1940.77,1944.17,1940.702,1943.633,266.0
1599089400,1943.633,1943.955,1942.818,1943.955,234.0
1599090300,1943.955,1945.667,1943.194,1944.86,372.0
1599091200,1944.86,1945.258,1943.592,1944.79,436.0
1599092100,1944.79,1945.21,1944.321,1944.773,215.0
1599093000,1944.773,1946.25,1944.449,1945.448,248.0
1599093900,1945.448,1945.966,1944.566,1944.566,204.0
1599094800,1944.566,1946.01,1942.166,1942.255,734.0
1599095700,1942.255,1943.352,1941.782,1943.026,431.0
1599096600,1943.026,1945.976,1941.859,1945.724,537.0
1599097500,1945.724,1948.233,1945.39,1948.108,658.0
1599098400,1948.108,1951.178,1947.156,1950.642,608.0
1599099300,1950.642,1950.876,1948.456,1949.407,510.0
1599100200,1949.407,1949.984,1946.946,1948.306,526.0
1599101100,1948.306,1948.306,1945.698,1946.736,667.0
1599102000,1946.736,1947.265,1945.16,1946.666,404.0
1599102900,1946.666,1947.182,1945.794,1946.525,330.0
1599103800,1946.525,1946.62,1944.701,1944.964,181.0
1599104700,1944.964,1946.522,1944.924,1945.803,236.0
1599105600,1945.803,1946.656,1945.472,1945.622,207.0
1599106500,1945.622,1945.735,1944.074,1944.179,280.0
1599107400,1944.179,1944.356,1941.321,1941.321,333.0
1599108300,1941.321,1942.557,1937.646,1937.708,739.0
1599109200,1937.708,1939.52,1936.176,1938.82,664.0
1599110100,1938.82,1940.975,1938.82,1940.542,442.0
1599111000,1940.542,1940.542,1935.628,1935.734,1262.0
1599111900,1935.734,1936.728,1932.367,1932.666,1175.0
1599112800,1932.666,1936.786,1931.712,1936.431,1399.0
1599113700,1936.431,1937.389,1932.667,1933.873,1041.0
1599114600,1933.873,1934.487,1928.586,1929.581,1647.0
1599115500,1929.581,1930.927,1927.828,1929.984,1791.0
1599116400,1929.984,1932.702,1927.228,1932.574,1394.0
1599117300,1932.574,1935.832,1931.66,1935.172,1004.0
1599118200,1935.172,1938.012,1934.55,1937.727,873.0
1599119100,1937.727,1938.81,1935.626,1935.998,846.0
1599120000,1935.998,1936.873,1933.146,1933.432,853.0
1599120900,1933.432,1937.792,1933.117,1936.166,702.0
1599121800,1936.166,1936.436,1933.628,1935.725,631.0
1599122700,1935.725,1937.375,1935.624,1936.11,584.0
1599123600,1936.11,1936.9,1935.377,1936.609,576.0
1599124500,1936.609,1937.28,1934.912,1934.934,598.0
1599125400,1934.934,1935.306,1933.712,1934.368,657.0
1599126300,1934.368,1935.192,1930.18,1931.102,801.0
1599127200,1931.102,1932.938,1930.924,1932.576,553.0
1599128100,1932.576,1932.662,1929.885,1931.999,566.0
1599129000,1931.999,1933.465,1931.698,1931.698,438.0
1599129900,1931.698,1932.184,1930.596,1930.904,509.0
1599130800,1930.904,1932.454,1928.75,1929.387,873.0
1599131700,1929.387,1931.596,1927.442,1928.276,1074.0
1599132600,1928.276,1934.082,1927.766,1932.358,710.0
1599133500,1932.358,1935.218,1931.89,1934.738,761.0
1599134400,1934.738,1935.118,1931.942,1932.469,1174.0
1599135300,1932.469,1935.218,1929.534,1933.972,1403.0
1599136200,1933.972,1937.02,1930.413,1934.188,2500.0
1599137100,1934.188,1935.64,1930.454,1934.456,1406.0
1599138000,1934.456,1936.83,1932.648,1936.558,1512.0
1599138900,1936.558,1940.878,1936.556,1940.695,1762.0
1599139800,1940.695,1941.964,1937.308,1939.92,2667.0
1599140700,1939.92,1946.019,1938.975,1943.373,2411.0
1599141600,1943.373,1945.816,1939.178,1941.399,3001.0
1599142500,1941.399,1941.707,1934.467,1937.03,3147.0
1599143400,1937.03,1939.708,1934.632,1939.45,2427.0
1599144300,1939.45,1943.157,1939.089,1941.813,2583.0
1599145200,1941.813,1942.58,1934.822,1935.186,2858.0
1599146100,1935.186,1935.972,1921.905,1924.784,5466.0
1599147000,1924.784,1927.77,1923.658,1925.144,3455.0
1599147900,1925.144,1929.654,1922.792,1926.532,2574.0
1599148800,1926.532,1930.703,1924.736,1930.553,2370.0
1599149700,1930.553,1931.248,1928.484,1930.667,1601.0
1599150600,1930.667,1932.57,1930.08,1931.248,1247.0
1599151500,1931.248,1932.886,1927.486,1927.863,1731.0
1599152400,1927.863,1930.652,1926.806,1930.374,1555.0
1599153300,1930.374,1931.956,1928.642,1931.123,1377.0
1599154200,1931.123,1932.681,1928.088,1928.275,1176.0
1599155100,1928.275,1931.066,1927.53,1930.652,879.0
1599156000,1930.652,1932.08,1930.03,1930.439,782.0
1599156900,1930.439,1934.338,1929.91,1934.132,709.0
1599157800,1934.132,1938.464,1933.88,1934.766,1466.0
1599158700,1934.766,1935.256,1932.406,1933.509,1045.0
1599159600,1933.509,1936.563,1932.306,1935.512,1129.0
1599160500,1935.512,1935.896,1930.822,1930.992,1064.0
1599161400,1930.992,1932.706,1929.626,1932.356,1162.0
1599162300,1932.356,1932.888,1929.11,1929.304,1116.0
1599163200,1929.304,1932.442,1929.304,1930.726,441.0
1599164100,1930.726,1931.745,1929.993,1931.311,211.0
1599165000,1931.311,1932.011,1929.588,1929.92,233.0
1599165900,1929.92,1931.234,1929.506,1930.673,154.0
1599170400,1930.673,1933.633,1929.746,1930.056,231.0
1599171300,1930.056,1932.151,1930.003,1932.06,186.0
1599172200,1932.06,1932.842,1930.121,1930.536,268.0
1599173100,1930.536,1932.734,1930.066,1931.27,292.0
1599174000,1931.27,1932.517,1931.27,1931.515,152.0
1599174900,1931.515,1932.518,1931.158,1932.392,230.0
1599175800,1932.392,1932.448,1931.318,1931.556,150.0
1599176700,1931.556,1931.742,1925.795,1928.128,474.0
1599177600,1928.128,1933.64,1928.04,1932.92,1129.0
1599178500,1932.92,1934.802,1932.02,1932.41,781.0
1599179400,1932.41,1935.353,1931.118,1934.036,906.0
1599180300,1934.036,1937.2,1934.036,1934.919,806.0
1599181200,1934.919,1938.56,1934.86,1936.28,1305.0
1599182100,1936.28,1938.003,1934.213,1937.296,917.0
1599183000,1937.296,1940.298,1936.941,1939.591,934.0
1599183900,1939.591,1941.076,1939.147,1939.674,518.0
1599184800,1939.674,1941.556,1939.043,1941.23,947.0
1599185700,1941.23,1942.3,1939.649,1940.332,798.0
1599186600,1940.332,1940.57,1938.272,1938.476,527.0
1599187500,1938.476,1938.986,1934.552,1934.759,572.0
1599188400,1934.759,1938.618,1934.759,1937.816,730.0
1599189300,1937.816,1938.572,1936.838,1938.05,429.0
1599190200,1938.05,1939.311,1937.094,1937.446,343.0
1599191100,1937.446,1938.566,1936.517,1936.662,218.0
1599192000,1936.662,1937.92,1935.944,1937.776,215.0
1599192900,1937.776,1939.946,1937.42,1939.252,338.0
1599193800,1939.252,1939.85,1936.135,1936.668,464.0
1599194700,1936.668,1937.388,1934.956,1936.672,460.0
1599195600,1936.672,1936.944,1935.65,1936.116,314.0
1599196500,1936.116,1936.665,1934.786,1936.333,433.0
1599197400,1936.333,1936.466,1932.144,1935.334,1055.0
1599198300,1935.334,1936.27,1933.61,1934.581,638.0
1599199200,1934.581,1935.25,1930.85,1933.687,1347.0
1599200100,1933.687,1936.142,1933.058,1935.61,845.0
1599201000,1935.61,1936.62,1933.975,1934.784,1167.0
1599201900,1934.784,1935.922,1933.53,1934.694,848.0
1599202800,1934.694,1937.331,1933.246,1934.98,907.0
1599203700,1934.98,1936.234,1934.57,1935.064,749.0
1599204600,1935.064,1938.474,1935.064,1935.642,839.0
1599205500,1935.642,1937.59,1935.642,1935.808,523.0
1599206400,1935.808,1936.309,1934.848,1936.264,584.0
1599207300,1936.264,1937.162,1934.907,1935.222,493.0
1599208200,1935.222,1937.096,1933.67,1936.755,518.0
1599209100,1936.755,1940.049,1936.644,1939.922,856.0
1599210000,1939.922,1941.758,1939.552,1940.903,642.0
1599210900,1940.903,1941.24,1938.639,1938.779,636.0
1599211800,1938.779,1939.138,1936.002,1938.276,782.0
1599212700,1938.276,1940.268,1938.178,1939.226,416.0
1599213600,1939.226,1939.978,1937.902,1939.064,410.0
1599214500,1939.064,1939.147,1937.378,1938.662,357.0
1599215400,1938.662,1939.317,1938.094,1938.599,331.0
1599216300,1938.599,1939.574,1937.932,1938.574,294.0
1599217200,1938.574,1938.922,1937.401,1937.866,386.0
1599218100,1937.866,1939.751,1937.799,1938.432,321.0
1599219000,1938.432,1939.148,1937.515,1938.869,429.0
1599219900,1938.869,1940.906,1938.376,1939.892,545.0
1599220800,1939.892,1941.225,1936.845,1937.25,890.0
1599221700,1937.25,1940.628,1936.842,1940.423,1061.0
1599222600,1940.423,1949.496,1925.334,1928.784,7541.0
1599223500,1928.784,1934.051,1926.798,1927.42,3151.0
1599224400,1927.42,1927.42,1916.696,1924.248,4697.0
1599225300,1924.248,1929.226,1923.404,1926.782,2375.0
1599226200,1926.782,1931.978,1926.058,1927.8,3183.0
1599227100,1927.8,1930.004,1924.461,1926.618,2449.0
1599228000,1926.618,1928.771,1922.194,1923.266,2877.0
1599228900,1923.266,1929.821,1920.906,1925.692,3099.0
1599229800,1925.692,1927.451,1918.885,1919.869,3214.0
1599230700,1919.869,1925.88,1919.757,1924.618,2511.0
1599231600,1924.618,1925.7,1918.054,1921.225,2886.0
1599232500,1921.225,1922.342,1918.296,1921.15,2163.0
1599233400,1921.15,1925.194,1920.983,1922.249,2488.0
1599234300,1922.249,1924.008,1917.422,1920.951,2124.0
1599235200,1920.951,1922.773,1918.927,1921.196,1802.0
1599236100,1921.196,1926.113,1920.566,1926.107,1398.0
1599237000,1926.107,1929.342,1925.849,1927.076,1405.0
1599237900,1927.076,1927.42,1925.509,1927.079,941.0
1599238800,1927.079,1927.079,1924.558,1924.732,733.0
1599239700,1924.732,1927.68,1923.703,1927.27,1085.0
1599240600,1927.27,1928.764,1926.278,1928.412,603.0
1599241500,1928.412,1931.327,1926.238,1930.386,1034.0
1599242400,1930.386,1931.401,1929.992,1930.755,812.0
1599243300,1930.755,1932.26,1928.907,1931.516,862.0
1599244200,1931.516,1937.604,1930.804,1937.034,1161.0
1599245100,1937.034,1938.724,1934.416,1936.076,1546.0
1599246000,1936.076,1936.41,1933.686,1933.79,935.0
1599246900,1933.79,1936.268,1933.79,1934.97,711.0
1599247800,1934.97,1936.749,1933.462,1935.592,871.0
1599248700,1935.592,1937.437,1934.451,1935.114,1074.0
1599249600,1935.114,1935.21,1932.628,1933.628,459.0
1599250500,1933.628,1933.848,1931.736,1932.08,195.0
1599251400,1932.08,1933.19,1931.834,1932.878,135.0
1599252300,1932.878,1934.252,1932.555,1934.024,144.0
1599429600,1934.024,1934.628,1931.014,1934.175,290.0
1599430500,1934.175,1935.74,1932.941,1933.86,241.0
1599431400,1933.86,1937.656,1933.658,1937.646,322.0
1599432300,1937.646,1937.894,1936.734,1936.994,190.0
1599433200,1936.994,1937.415,1936.302,1936.345,120.0
1599434100,1936.345,1936.546,1934.711,1936.253,200.0
1599435000,1936.253,1937.003,1934.208,1934.748,306.0
1599435900,1934.748,1935.225,1934.094,1934.533,185.0
1599436800,1934.533,1935.878,1934.297,1934.334,252.0
1599437700,1934.334,1935.044,1934.293,1934.52,176.0
1599438600,1934.52,1935.913,1934.26,1935.614,192.0
1599439500,1935.614,1936.287,1933.046,1933.062,356.0
1599440400,1933.062,1934.068,1932.034,1933.643,840.0
1599441300,1933.643,1938.849,1933.558,1937.839,1158.0
1599442200,1937.839,1939.942,1937.112,1937.305,1092.0
1599443100,1937.305,1941.01,1937.248,1939.568,744.0
1599444000,1939.568,1941.477,1938.956,1940.148,721.0
1599444900,1940.148,1940.413,1938.295,1938.388,402.0
1599445800,1938.388,1939.004,1936.943,1937.191,534.0
1599446700,1937.191,1938.449,1937.15,1937.894,414.0
1599447600,1937.894,1939.003,1936.258,1936.414,437.0
1599448500,1936.414,1937.12,1935.422,1936.934,313.0
1599449400,1936.934,1937.12,1934.974,1936.142,334.0
1599450300,1936.142,1936.35,1935.622,1935.708,135.0
1599451200,1935.708,1936.382,1935.232,1935.43,238.0
1599452100,1935.43,1935.608,1933.888,1934.943,265.0
1599453000,1934.943,1936.722,1934.814,1936.722,226.0
1599453900,1936.722,1936.802,1935.036,1935.142,202.0
1599454800,1935.142,1935.976,1934.679,1934.794,204.0
1599455700,1934.794,1935.276,1934.492,1934.571,127.0
1599456600,1934.571,1934.986,1933.81,1934.927,342.0
1599457500,1934.927,1935.062,1927.872,1929.958,1455.0
1599458400,1929.958,1931.378,1928.858,1929.01,874.0
1599459300,1929.01,1931.588,1928.524,1929.99,946.0
1599460200,1929.99,1931.983,1929.491,1931.942,611.0
1599461100,1931.942,1932.178,1930.49,1930.596,600.0
1599462000,1930.596,1930.752,1928.422,1929.156,546.0
1599462900,1929.156,1930.945,1929.0,1929.794,577.0
1599463800,1929.794,1932.596,1928.928,1932.446,623.0
1599464700,1932.446,1934.132,1931.05,1931.436,571.0
1599465600,1931.436,1934.292,1930.42,1933.033,506.0
1599466500,1933.033,1933.033,1931.381,1932.424,356.0
1599467400,1932.424,1933.309,1931.202,1931.31,401.0
1599468300,1931.31,1931.86,1930.653,1931.326,243.0
1599469200,1931.326,1931.326,1929.462,1929.462,219.0
1599470100,1929.462,1930.962,1928.788,1928.925,251.0
1599471000,1928.925,1929.122,1926.828,1928.425,540.0
1599471900,1928.425,1928.822,1928.172,1928.776,140.0
1599472800,1928.776,1929.907,1928.025,1928.025,303.0
1599473700,1928.025,1928.153,1924.636,1926.504,633.0
1599474600,1926.504,1926.872,1925.074,1926.412,431.0
1599475500,1926.412,1927.496,1926.412,1927.11,277.0
1599476400,1927.11,1929.618,1926.838,1929.405,320.0
1599477300,1929.405,1929.444,1928.404,1928.783,172.0
1599478200,1928.783,1930.688,1928.509,1930.606,288.0
1599479100,1930.606,1931.248,1928.318,1928.512,341.0
1599480000,1928.512,1929.599,1927.452,1929.168,537.0
1599480900,1929.168,1930.672,1929.14,1930.517,298.0
1599481800,1930.517,1930.946,1930.088,1930.45,302.0
1599482700,1930.45,1930.582,1929.383,1929.416,250.0
1599483600,1929.416,1932.789,1927.892,1930.942,960.0
1599484500,1930.942,1931.798,1928.852,1929.332,600.0
1599485400,1929.332,1931.111,1928.968,1930.189,627.0
1599486300,1930.189,1932.082,1929.296,1929.296,594.0
1599487200,1929.296,1929.802,1924.636,1927.995,1217.0
1599488100,1927.995,1929.184,1927.466,1928.958,334.0
1599489000,1928.958,1930.403,1927.931,1929.45,468.0
1599489900,1929.45,1930.95,1928.571,1929.305,825.0
1599490800,1929.305,1930.22,1927.518,1929.503,682.0
1599491700,1929.503,1929.889,1928.708,1929.37,333.0
